lats,lons
14.17,-94.03
14.17,-93.98
14.17,-93.94
14.17,-93.9
14.17,-93.85
14.17,-93.81
14.17,-93.76
14.17,-93.72
14.17,-93.67
14.17,-93.62
14.17,-93.58
14.17,-93.53
14.17,-93.49
14.17,-93.45
14.17,-93.4
14.17,-93.36
14.17,-93.31
14.17,-93.27
14.17,-93.22
14.17,-93.18
14.17,-93.13
14.17,-93.09
14.17,-93.04
14.17,-93.0
14.17,-92.95
14.17,-92.91
14.17,-92.86
14.17,-92.81
14.17,-92.77
14.17,-92.73
14.17,-92.68
14.17,-92.64
14.17,-92.59
14.17,-92.55
14.17,-92.5
14.17,-92.46
14.17,-92.41
14.17,-92.37
14.17,-92.32
14.17,-92.28
14.17,-92.23
14.17,-92.19
14.17,-92.14
14.17,-92.09
14.17,-92.05
14.17,-92.01
14.17,-91.96
14.17,-91.92
14.17,-91.87
14.17,-91.83
14.17,-91.78
14.17,-91.73
14.17,-91.69
14.17,-91.65
14.17,-91.6
14.17,-91.56
14.17,-91.51
14.17,-91.47
14.17,-91.42
14.17,-91.38
14.17,-91.33
14.17,-91.28
14.17,-91.24
14.17,-91.2
14.17,-91.15
14.17,-91.11
14.17,-91.06
14.17,-91.02
14.17,-90.97
14.17,-90.93
14.17,-90.88
14.17,-90.84
14.17,-90.79
14.17,-90.75
14.17,-90.7
14.17,-90.66
14.17,-90.61
14.17,-90.56
14.17,-90.52
14.17,-90.48
14.17,-90.43
14.17,-90.39
14.17,-90.34
14.17,-90.3
14.17,-90.25
14.17,-90.21
14.17,-90.16
14.17,-90.12
14.17,-90.07
14.17,-90.03
14.17,-89.98
14.17,-89.94
14.17,-89.89
14.17,-89.84
14.17,-89.8
14.17,-89.76
14.17,-89.71
14.17,-89.67
14.17,-89.62
14.17,-89.58
14.17,-89.53
14.17,-89.48
14.17,-89.44
14.17,-89.4
14.17,-89.35
14.17,-89.31
14.17,-89.26
14.17,-89.22
14.17,-89.17
14.17,-89.12
14.17,-89.08
14.17,-89.03
14.17,-88.99
14.17,-88.95
14.17,-88.9
14.17,-88.86
14.17,-88.81
14.17,-88.77
14.17,-88.72
14.17,-88.68
14.17,-88.63
14.17,-88.59
14.17,-88.54
14.17,-88.5
14.17,-88.45
14.17,-88.41
14.17,-88.36
14.17,-88.31
14.17,-88.27
14.17,-88.23
14.17,-88.18
14.17,-88.14
14.17,-88.09
14.17,-88.05
14.17,-88.0
14.17,-87.96
14.17,-87.91
14.17,-87.87
14.17,-87.82
14.17,-87.78
14.17,-87.73
14.17,-87.69
14.17,-87.64
14.17,-87.59
14.17,-87.55
14.17,-87.51
14.17,-87.46
14.17,-87.42
14.17,-87.37
14.17,-87.33
14.17,-87.28
14.17,-87.23
14.17,-87.19
14.17,-87.15
14.17,-87.1
14.17,-87.06
14.17,-87.01
14.17,-86.97
14.17,-86.92
14.17,-86.88
14.17,-86.83
14.17,-86.78
14.17,-86.74
14.17,-86.7
14.17,-86.65
14.17,-86.61
14.17,-86.56
14.17,-86.52
14.17,-86.47
14.17,-86.43
14.17,-86.38
14.17,-86.34
14.17,-86.29
14.17,-86.25
14.17,-86.2
14.17,-86.16
14.17,-86.11
14.17,-86.06
14.17,-86.02
14.17,-85.98
14.17,-85.93
14.17,-85.89
14.17,-85.84
14.17,-85.8
14.21,-117.34
14.21,-117.3
14.21,-117.25
14.21,-117.2
14.21,-117.16
14.21,-117.12
14.21,-117.07
14.21,-117.03
14.21,-116.98
14.21,-116.94
14.21,-116.89
14.21,-116.84
14.21,-116.8
14.21,-116.76
14.21,-116.71
14.21,-116.67
14.21,-116.62
14.21,-116.58
14.21,-116.53
14.21,-116.48
14.21,-116.44
14.21,-116.4
14.21,-116.35
14.21,-116.31
14.21,-116.26
14.21,-116.22
14.21,-116.17
14.21,-116.12
14.21,-116.08
14.21,-116.03
14.21,-115.99
14.21,-115.95
14.21,-115.9
14.21,-115.86
14.21,-115.81
14.21,-115.77
14.21,-115.72
14.21,-115.67
14.21,-115.63
14.21,-115.59
14.21,-115.54
14.21,-115.5
14.21,-115.45
14.21,-115.41
14.21,-115.36
14.21,-115.31
14.21,-115.27
14.21,-115.23
14.21,-115.18
14.21,-115.14
14.21,-115.09
14.21,-115.05
14.21,-115.0
14.21,-114.95
14.21,-114.91
14.21,-114.87
14.21,-114.82
14.21,-114.78
14.21,-114.73
14.21,-114.69
14.21,-114.64
14.21,-114.59
14.21,-114.55
14.21,-114.51
14.21,-114.46
14.21,-114.42
14.21,-114.37
14.21,-114.33
14.21,-114.28
14.21,-114.23
14.21,-114.19
14.21,-114.15
14.21,-114.1
14.21,-114.06
14.21,-114.01
14.21,-113.97
14.21,-113.92
14.21,-113.88
14.21,-113.83
14.21,-113.78
14.21,-113.74
14.21,-113.7
14.21,-113.65
14.21,-113.61
14.21,-113.56
14.21,-113.52
14.21,-113.47
14.21,-113.42
14.21,-113.38
14.21,-113.34
14.21,-113.29
14.21,-113.25
14.21,-113.2
14.21,-113.16
14.21,-113.11
14.21,-113.06
14.21,-113.02
14.21,-112.98
14.21,-112.93
14.21,-112.89
14.21,-112.84
14.21,-112.8
14.21,-112.75
14.21,-112.7
14.21,-112.66
14.21,-112.62
14.21,-112.57
14.21,-112.53
14.21,-112.48
14.21,-112.44
14.21,-112.39
14.21,-112.34
14.21,-112.3
14.21,-112.26
14.21,-112.21
14.21,-112.17
14.21,-112.12
14.21,-112.08
14.21,-112.03
14.21,-111.98
14.21,-111.94
14.21,-111.9
14.21,-111.85
14.21,-111.81
14.21,-111.76
14.21,-111.72
14.21,-111.67
14.21,-111.62
14.21,-111.58
14.21,-111.53
14.21,-111.49
14.21,-111.45
14.21,-111.4
14.21,-111.36
14.21,-111.31
14.21,-111.27
14.21,-111.22
14.21,-111.17
14.21,-111.13
14.21,-111.09
14.21,-111.04
14.21,-111.0
