,in_apple_playlists,in_apple_charts,Artista,id_artista
514,57,4,The Kid Laroi,279
515,52,9,The Kid Laroi,279
516,0,0,Lizzo,280
517,242,49,Lizzo,280
518,41,0,Lizzo,280
519,24,94,Fujii Kaze,281
520,11,80,King,283
521,0,0,"Coldplay, BTS",284
522,86,1,"Sam Smith, Calvin Harris, Jessie Reyez",285
523,88,24,P!nk,286
524,23,95,LE SSERAFIM,287
525,18,75,LE SSERAFIM,287
526,27,0,PinkPantheress,288
527,15,40,"TAEYANG, Jimin",289
528,129,31,Rihanna,290
529,113,17,Lil Nas X,291
530,275,19,Lil Nas X,291
531,173,7,Lil Nas X,291
532,47,60,Beach Weather,292
533,113,92,"Halsey, BTS",293
534,9,1,Baby Tate,294
535,13,78,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",296
536,69,76,Beach House,297
537,11,78,"BTS, Jung Kook, FIFA Sound",298
538,124,66,"Shakira, Rauw Alejandro",299
539,33,7,"Steve Aoki, Tini, La Joaqui",300
540,136,24,Sam Smith,301
541,82,1,Conan Gray,302
542,21,79,"Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",303
543,537,122,"Calvin Harris, Dua Lipa",304
544,12,56,TOMORROW X TOGETHER,305
545,128,84,"Drake, Future, Tems",306
546,1,9,Mr.Kitty,307
547,27,64,"Gustavo Mioto, Mari Fernandez",308
548,300,47,"Jack Harlow, Lil Nas X",309
549,43,53,Seafret,311
550,54,32,"Baby Rasta, Rauw Alejandro",312
551,14,1,"DJ Escobar, MC MENOR SG, MC MENOR HR",313
552,72,97,Dean Lewis,314
553,9,0,Bellakath,315
554,39,45,"Skrillex, Flowdan, Fred again..",316
555,12,22,"Travis Scott, 21 Savage, Metro Boomin",317
556,117,1,Kate Bush,318
557,0,0,Aerosmith,319
558,14,1,Freddie Dredd,320
559,238,122,"Lost Frequencies, Calum Scott",321
560,34,54,"Twisted, Oliver Tree",322
561,38,101,Kenshi Yonezu,323
562,70,0,Omar Apollo,324
563,198,13,"Dua Lipa, DaBaby",325
564,202,50,Doja Cat,326
565,125,36,Doja Cat,326
566,43,19,Doja Cat,326
567,85,87,Doja Cat,326
568,32,6,Doja Cat,326
569,79,13,Doja Cat,326
570,173,79,"James Hype, Miggy Dela Rosa",327
571,26,98,"Pritam, Arijit Singh, Amitabh Bhattacharya",328
572,4,0,"Styrx, utku INC, Thezth",329
573,56,38,"Maroon 5, Wiz Khalifa",330
574,387,132,Mariah Carey,331
575,274,111,Wham!,332
576,191,168,Brenda Lee,333
577,165,99,Bobby Helms,334
578,231,106,Ariana Grande,336
579,175,55,Ariana Grande,336
580,182,107,Andy Williams,337
581,88,1,Dean Martin,338
582,144,99,Kelly Clarkson,339
583,114,74,The Ronettes,341
584,130,1,"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",342
585,7,29,"SZA, Don Toliver",343
586,108,120,Burl Ives,344
587,140,72,Nat King Cole,345
588,65,39,Nat King Cole,345
589,1,0,Paul McCartney,346
590,209,30,Band Aid,347
