,Artista,in_spotify_playlists,in_spotify_charts,id_artista
377,"Future, Lil Uzi Vert, Metro Boomin",259,0,167
378,"RAYE, 070 Shake",5129,25,168
379,"RAYE, 070 Shake",1368,0,168
380,"Arcangel, Bad Bunny",3794,34,169
381,"Taylor Swift, Ice Spice",588,0,170
382,"Future, Chris Brown, Metro Boomin",2959,16,171
383,"BLESSD, Peso Pluma",291,8,172
384,"Fuerza Regida, Natanael Cano",536,10,173
385,"Lana Del Rey, Taylor Swift",359,2,174
386,Coi Leray,4096,6,175
387,ENHYPEN,349,69,176
388,ENHYPEN,246,0,176
389,ENHYPEN,461,0,176
390,"Lil Durk, Morgan Wallen",381,5,177
391,"James Blake, Metro Boomin",277,1,178
392,"Israel & Rodolffo, Mari Fernandez",967,5,179
393,Steve Lacy,8186,12,180
394,Steve Lacy,10431,7,180
395,Steve Lacy,1613,0,180
396,"Halsey, Suga",215,6,182
397,"Nicky Jam, Feid",1134,22,183
398,"Sean Paul, Feid",1305,34,184
399,Drake,2066,6,185
400,Drake,5263,0,185
401,Drake,2814,0,185
402,Drake,1045,0,185
403,"WizKid, Toian, Metro Boomin, Don Toliver, Beam",197,0,187
404,Simone Mendes,984,5,188
405,Tini,1240,24,189
406,Lil Uzi Vert,3995,13,190
407,Sia,7681,13,191
408,Sia,5140,0,191
409,Stephen Sanchez,4427,4,192
410,"MC Caverinha, KayBlack",269,4,193
411,"Offset, JID",214,0,194
412,"Migrantes, LiL CaKe, Nico Valdi",1267,20,196
413,Tory Lanez,2585,32,197
414,Joji,6330,6,198
415,Joji,1703,0,198
416,Joji,10211,0,198
417,"Mambo Kingz, DJ Luian, Anuel Aa",675,1,199
418,"Mambo Kingz, DJ Luian, Anuel Aa",1208,34,199
419,"Nile Rodgers, LE SSERAFIM",327,13,200
420,Agust D,244,12,201
421,Labrinth,1730,3,203
422,Labrinth,3444,7,203
423,Labrinth,5443,0,203
424,Labrinth,6332,0,203
425,Labrinth,2578,0,203
426,Labrinth,3618,0,203
427,Labrinth,1888,0,203
428,"Karol G, Romeo Santos",2127,33,204
429,Lizzy McAlpine,3242,9,205
430,IVE,366,15,206
431,IVE,521,1,206
432,IVE,753,8,206
433,IVE,767,12,206
434,sped up 8282,472,2,207
435,"Cartel De Santa, La Kelly",432,12,208
436,SEVENTEEN,271,12,209
437,NLE Choppa,816,4,210
438,"The Weeknd, Future",1169,0,211
439,"Nicki Minaj, Ice Spice",1444,4,212
440,"Grupo Marca Registrada, Grupo Frontera",356,10,213
441,"Fuerza Regida, Peso Pluma",265,6,214
442,"TAEYANG, Lisa",351,9,215
443,Raim Laode,158,4,216
444,Meghan Trainor,3956,6,218
445,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",1638,10,219
446,Grupo Frontera,924,18,220
447,TV Girl,6339,13,221
448,INTERWORLD,1561,24,222
449,"Quevedo, Jhayco",875,4,223
450,"El Chachito, Junior H",406,5,224
451,"The Weeknd, Gesaffelstein",4188,15,225
452,"The Weeknd, Gesaffelstein",7731,2,225
453,"RM, Colde",105,0,226
454,BLACKPINK,1524,17,227
455,BLACKPINK,1963,16,227
456,BLACKPINK,452,10,227
457,"Nengo Flow, Bad Bunny",2651,30,228
458,"Nicky Youre, Dazy",3741,17,229
459,"Eminem, Dina Rae",7615,14,230
460,"IU, Agust D",209,4,231
461,"Arcangel, Bizarrap",654,3,232
462,"Tyler, The Creator",1479,0,233
463,"Tyler, The Creator",709,0,233
464,"Tyler, The Creator",4708,0,233
465,NF,660,0,235
466,Yng Lvcas,489,17,236
467,"Kanii, PR1ISVX",407,0,237
468,Zach Bryan,3282,12,239
469,Melanie Martinez,596,0,240
470,"Fuerza Regida, Chino Pacas",320,6,241
471,Mae Stephens,2040,4,242
472,"Feid, Mora",2598,37,243
473,Kenia OS,542,2,244
474,Kordhell,2459,20,245
475,"Coolio, L.V.",10624,17,246
476,"Karol G, Ovy On The Drums",2418,26,247
477,The Walters,7536,7,248
478,Mac DeMarco,1640,0,249
479,Jack Black,34,0,250
480,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",1845,16,251
481,"Brray, Rauw Alejandro, Lyanno",3301,30,252
482,Linkin Park,20111,5,253
483,Linkin Park,25065,6,253
