Nombre artista,in_apple_playlists,in_apple_charts
"Skrillex, Flowdan, Fred again..",39,45
"Travis Scott, 21 Savage, Metro Boomin",12,22
Bad Bunny,120,86
Nicki Minaj,104,17
Kate Bush,117,1
Aerosmith,0,0
Freddie Dredd,14,1
"Lost Frequencies, Calum Scott",238,122
"Twisted, Oliver Tree",34,54
Ed Sheeran,344,97
Kenshi Yonezu,38,101
Omar Apollo,70,0
SZA,133,109
"Dua Lipa, DaBaby",198,13
Doja Cat,202,50
Hotel Ugly,2,4
"James Hype, Miggy Dela Rosa",173,79
Taylor Swift,8,18
"Pritam, Arijit Singh, Amitabh Bhattacharya",26,98
"Styrx, utku INC, Thezth",4,0
"Maroon 5, Wiz Khalifa",56,38
Mariah Carey,387,132
Wham!,274,111
Brenda Lee,191,168
Bobby Helms,165,99
Michael Bublï¿,35,0
Ariana Grande,231,106
Andy Williams,182,107
Dean Martin,88,1
Sia,85,110
Kelly Clarkson,144,99
Josï¿½ï¿½ Felic,21,3
Michael Bublï¿,5,0
Justin Bieber,195,111
The Ronettes,114,74
SZA,5,31
SZA,16,63
"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",130,1
"SZA, Don Toliver",7,29
Burl Ives,108,120
Nat King Cole,140,72
Paul McCartney,1,0
Band Aid,209,30
"SZA, Phoebe Bridgers",16,20
SZA,6,21
Shakin' Stevens,90,35
"Frank Sinatra, B. Swanson Quartet",126,108
SZA,6,18
"SZA, Travis Scott",13,87
"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",73,79
Chris Rea,50,0
Darlene Love,121,58
SZA,3,17
SZA,5,9
SZA,14,22
"Ed Sheeran, Elton John",72,90
"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",89,39
Britney Spears,115,53
"Mabel Matiz, Mert Demir",10,6
RM,2,74
SZA,66,96
"Travis Scott, Metro Boomin",3,7
ThxSoMch,1,0
Nat King Cole,65,39
SZA,6,11
SZA,2,14
"Taylor Swift, Lana Del Rey",33,57
Taylor Swift,12,16
"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",21,0
Taylor Swift,39,35
"Bad Bunny, Jhay Cortez",27,77
"Gwen Stefani, Blake Shelton",108,56
"Chencho Corleone, Rauw Alejandro",83,58
SZA,0,9
"Bad Bunny, Rauw Alejandro",38,64
Chuck Berry,120,30
Frank Sinatra,32,3
SZA,2,15
"John Legend, Metro Boomin",2,2
"Maldy, Karol G",39,50
Gayle,170,12
The Weeknd,81,77
The Weeknd,13,89
"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",65,7
The Weeknd,49,88
"Cherish, ACRAZE",183,63
"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",95,89
Farruko,252,109
The Weeknd,7,47
The Weeknd,11,29
Jaymes Young,24,0
The Weeknd,18,77
The Weeknd,17,80
Olivia Rodrigo,259,55
"The Weeknd, Tyler, The Creator",7,18
The Weeknd,3,18
"SZA, Doja Cat",382,65
"The Weeknd, Lil Wayne",9,10
Doja Cat,125,36
Lil Nas X,275,19
Ckay,74,0
The Weeknd,1,8
Jessica Darrow,38,48
The Weeknd,1,17
Lil Nas X,173,7
"The Weeknd, Post Malone",68,18
Mï¿½ï¿½ne,183,64
"Aitana, zzoilo",67,13
"Julieta Venegas, Bad Bunny, Tainy",61,65
Lisa,44,109
"Tiï¿½ï¿½sto, Ava",240,107
Billie Eilish,138,133
"The Weeknd, Swedish House Mafia",114,172
"Juan Cruz Toledo, Huilen Toledo",85,43
BoyWithUke,34,23
Olivia Rodrigo,185,61
"Xamï¿½ï¿½, Gustah, Neo B",14,3
Taylor Swift,50,49
The Weeknd,1,5
Adele,105,7
"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",32,0
The Weeknd,0,2
Emmy Meli,45,0
"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",54,21
Shawn Mendes,56,8
The Neighbourhood,33,102
Kodak Black,52,15
"Aventura, Bad Bunny",138,24
Rauw Alejandro,188,75
"Ckay, AX'EL, Dj Yo!",42,2
"Bruno Mars, Anderson .Paak, Silk Sonic",63,40
"THE ANXIETY, Willow, Tyler Cole",47,14
The Weeknd,0,1
Sebastian Yatra,77,31
"Justin Bieber, Daniel Caesar, Giveon",231,52
"Bad Bunny, Jhay Cortez",189,166
"Bizarrap, Tiago pzk",20,4
Stromae,41,122
"Chris Brown, Rvssian, Rauw Alejandro",86,76
"NEIKED, Mae Muller, Polo G",105,2
Oliver Tree,43,15
"Kali Uchis, Amaarae, Moliy",69,3
BTS,180,135
"Young Thug, Future, Gunna",54,28
"Doja Cat, The Weeknd",83,9
Olivia Rodrigo,117,39
BTS,239,163
Jnr Choi,44,0
"The Weeknd, Gesaffelstein",110,145
"Trueno, Tiago pzk",17,5
"Sech, Bad Bunny, Mora",101,34
"Bruno Mars, Anderson .Paak, Silk Sonic",237,123
"Drake, Project Pat, 21 Savage",45,43
"Tiï¿½ï¿½sto, Kar",171,51
Edison Lighthouse,16,0
"The Weeknd, ROSALï¿½",81,93
"Olga Merediz, Stephanie Beatriz, Encanto - Cast",20,38
The Weeknd,1,1
Sebastian Yatra,24,47
Surf Curse,23,21
Jason Derulo,111,5
The Neighbourhood,42,70
"21 Savage, Gunna",3,0
IVE,17,89
"24kgoldn, Iann Dior",237,27
"Stephanie Beatriz, Diane Guerrero",13,27
Trueno,14,14
David Kushner,13,0
Olivia Rodrigo,25,46
Kanye West,24,6
Doja Cat,43,19
Lewis Capaldi,205,130
Playboi Carti,25,3
Adele,195,125
Maluma,103,76
"Ed Sheeran, Fireboy DML",60,17
Olivia Rodrigo,20,21
"Prezioso, Gabry Ponte, LUM!X",54,16
Tiï¿½ï¿,255,32
Ariana Grande,175,55
Mï¿½ï¿½ne,65,88
"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",7,3
TWICE,20,99
Giveon,111,127
"Sean Paul, Dua Lipa",92,127
"Charli XCX, Jax Jones, Joel Corry, Saweetie",122,11
SALES,4,2
Sleepy hallow,29,0
Billie Eilish,39,45
Billie Eilish,19,0
Masked Wolf,146,18
"Anuel Aa, Jhay Cortez",101,12
NIKI,30,2
Bruno Mars,5,0
Tate McRae,167,19
Avicii,92,122
The Weeknd,174,73
"Drake, Future, Young Thug",144,30
Rauw Alejandro,36,82
"Imagine Dragons, League of Legends, Arcane",8,8
Tones and I,533,167
Juice WRLD,188,34
"J Balvin, Maria Becerra",92,34
John Legend,308,118
Nirvana,265,121
Duncan Laurence,107,47
"Drake, Travis Scott",118,116
"Tini, L-Gante",22,3
SiM,0,4
"Kendrick Lamar, Baby Keem",114,15
The Killers,306,99
ENHYPEN,2,12
"J Balvin, Nio Garcia, Bad Bunny",93,5
Doja Cat,85,87
"Lady Gaga, Bradley Cooper",368,155
ENHYPEN,10,56
"Marshmello, Jonas Brothers",143,24
BTS,77,134
"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",209,54
Polo G,141,12
"Eminem, Nate Dogg",78,46
Maroon 5,272,67
"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",72,0
"Gunna, Lil Baby",17,3
"Katy Perry, Alesso",89,21
"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",24,92
"Tini, Maria Becerra",61,23
"Anuel Aa, Myke Towers, Jhay Cortez",30,26
"Karol G, Becky G",151,102
"Dr. Dre, Snoop Dogg",141,78
Jung Kook,4,113
Dove Cameron,76,0
"Ed Sheeran, Taylor Swift",46,1
"Dr. Dre, Snoop Dogg",142,40
Charlie Puth,119,6
"Kanye West, Alicia Keys, Fivio Foreign",34,3
"Mahmood, Blanco",34,1
Frank Ocean,124,27
50 Cent,235,106
Tate McRae,105,12
Yung Lean,13,0
"Labrinth, Zendaya",33,123
The Rare Occasions,22,13
Labrinth,24,85
Labrinth,45,1
"Intense, AP Dhillon, Gurinder Gill",7,21
Juice WRLD,11,0
"Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",19,5
"Dr. Dre, 2Pac, Roger",128,17
"Eminem, Dr. Dre",78,15
"Luude, Colin Hay",57,13
Ryan Castro,44,63
Kendrick Lamar,284,114
"Eminem, Dido",83,63
"GODZZ__-, Zakaria",65,45
Chase Atlantic,5,1
Bad Bunny,21,20
Em Beihold,47,3
"Mainstreet, Chefin",10,0
"Alvaro Diaz, Rauw Alejandro",42,7
"Nicki Minaj, Lil Baby",25,0
Future,20,3
Zï¿½ï¿½ Fe,28,73
Muni Long,43,36
Vundabar,3,0
Ed Sheeran,363,129
Labrinth,47,116
V,8,106
"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",35,104
Labrinth,8,67
"Nicki Minaj, Lil Baby",42,1
Labrinth,21,86
"Eminem, Dr. Dre",8,0
"Shawn Mendes, Camila Cabello",453,50
"Tyler, The Creator",13,7
Harry Styles,246,71
"Daddy Yankee, Bad Bunny",52,42
Nirvana,45,27
"Dua Lipa, Megan Thee Stallion",69,2
"Camila Cabello, Ed Sheeran",185,40
Cris Mj,46,16
Anitta,123,113
Dave,29,40
Tulus,12,4
Labrinth,26,1
"Mc Pedrinho, Pedro Sampaio",45,0
Zion & Lennox,18,82
"Residente, Bizarrap",7,11
Ryan Castro,29,2
Jack Harlow,42,0
Eden Muï¿½ï,16,41
Treasure,10,21
Christian Nodal,27,84
"Kevin Gates, Juicy J",0,0
"Tyga, Doja Cat",26,1
JVKE,16,5
Bad Bunny,13,1
Queen,321,162
XXXTENTACION,11,10
Dua Lipa,233,82
Avicii,315,160
Olivia Rodrigo,10,0
YEAT,2,0
C. Tangana,36,2
"The Chainsmokers, Coldplay",336,188
"The Chainsmokers, Halsey",315,159
NMIXX,9,66
"Gotye, Kimbra",217,136
"AnnenMayKantereit, Giant Rooks",15,48
Jack Harlow,163,32
Paulo Londra,32,0
Danny Ocean,68,24
"Daddy Yankee, Bad Bunny",55,3
Shawn Mendes,75,11
Lil Tjay,21,0
Willow,79,80
IVE,28,124
"Feid, Alejo, Robi",49,17
Paulo Londra,11,0
Demi Lovato,155,5
"Camila Cabello, Willow",24,0
Troye Sivan,52,25
"Matuï¿½ï¿½, Wiu, ",26,3
"De La Ghetto, Duki, Quevedo",14,0
Lil Baby,31,9
"Ak4:20, Cris Mj, Pailita",12,2
Charlie Puth,11,6
Yahritza Y Su Esencia,5,0
Daddy Yankee,20,4
"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",32,0
Harry Styles,124,24
"Ed Sheeran, J Balvin",46,8
teto,27,2
Stray Kids,6,188
Shawn Mendes,229,57
"Blackbear, BoyWithUke",10,2
Harry Styles,85,24
"Pharrell Williams, Nile Rodgers, Daft Punk",203,1
Doja Cat,32,6
"Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",34,39
BIGBANG,16,14
Ed Sheeran,228,105
Justin Bieber,289,87
Kendrick Lamar,52,16
Lizzo,242,49
"Kendrick Lamar, Blxst, Amanda Reifer",38,13
Bad Bunny,27,44
Bad Bunny,7,30
Kendrick Lamar,4,5
"Kendrick Lamar, Sampha",4,0
Bad Bunny,7,21
Kendrick Lamar,20,10
"Post Malone, Roddy Ricch",42,28
Bad Bunny,9,11
"Kendrick Lamar, Kodak Black",22,0
"Tony Dize, Bad Bunny",8,25
Kendrick Lamar,3,7
"Buscabulla, Bad Bunny",8,30
Bad Bunny,10,24
"Kendrick Lamar, Taylour Paige",4,1
"Kendrick Lamar, Sam Dew, Baby Keem",9,0
Bad Bunny,5,28
"Bad Bunny, The Marï¿½ï",10,30
Kendrick Lamar,1,0
Bad Bunny,4,15
"Kendrick Lamar, Ghostface Killah, Summer Walker",7,0
Bad Bunny,8,12
"Polima WestCoast, Pailita",48,4
Bad Bunny,7,25
Bad Bunny,9,7
"Bad Bunny, Tainy",162,116
Jack Harlow,35,0
Bad Bunny,6,20
Panic! At The Disco,10,2
"Kendrick Lamar, Tanna Leone",1,0
"PSY, Suga",16,81
Benson Boone,48,40
Kendrick Lamar,0,0
Mï¿½ï¿½ne,93,12
KALUSH,10,4
The Kid Laroi,52,9
Kendrick Lamar,2,0
Kendrick Lamar,1,0
Future,28,42
Kendrick Lamar,2,0
Luciano,16,11
"Bizarrap, Paulo Londra",19,0
Kendrick Lamar,0,0
"Shae Gill, Ali Sethi",10,22
"Kendrick Lamar, Beth Gibbons",3,0
"Sech, Mora",23,16
"MNEK, Jax Jones",135,74
"Ugly Dray, Tesla Jnr",15,3
"Justin Bieber, Don Toliver",26,1
Jessi,5,29
Chanel,31,0
LE SSERAFIM,18,75
Leah Kate,23,1
Sam Ryder,42,51
"HA SUNG WOON, Jimin",4,35
The Goo Goo Dolls,137,5
Kendrick Lamar,29,0
Kevin Kaarl,5,0
Taylor Swift,26,2
Suki Waterhouse,11,6
Lauren Spencer Smith,42,9
BTS,32,110
BTS,5,132
Harry Styles,80,11
Harry Styles,29,10
BTS,5,40
Harry Styles,21,11
Doja Cat,79,13
"Pharrell Williams, Tyler, The Creator, 21 Savage",34,0
"Calvin Harris, Dua Lipa, Young Thug",73,45
BTS,0,18
Harry Styles,20,3
"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",36,1
"Kanye West, XXXTENTACION",23,1
Harry Styles,43,28
Musical Youth,54,76
"Bizarrap, Villano Antillano",26,16
Harry Styles,13,2
Harry Styles,7,1
Halsey,51,14
"BYOR, Imanbek",109,38
Harry Styles,8,1
Harry Styles,18,1
"Sleepy hallow, 347aidan",19,0
Paloma Faith,90,22
Lady Gaga,63,8
Harry Styles,15,1
"Marshmello, Khalid",107,76
"Ozuna, Tiago pzk",0,0
Childish Gambino,33,60
"David Guetta, Ella Henderson, Becky Hill",139,73
Joji,38,79
Duki,12,1
Harry Styles,26,2
Sidhu Moose Wala,4,106
Keisya Levronka,16,5
Victor Cibrian,5,36
Metallica,112,198
Beyoncï¿,222,61
"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",37,2
Drake,66,89
Yung Gravy,45,2
Lasso,26,18
Nayeon,19,21
"Schï¿½ï¿½rze, DJ R",18,124
j-hope,6,52
Guns N' Roses,228,151
Burna Boy,156,275
Rosa Linn,3,0
Drake,38,105
"Kanye West, Lil Durk, Cardi B",11,0
"L7nnon, DJ Biel do Furduncinho, Bianca",28,0
