Artista,in_spotify_playlists,in_spotify_charts
"Nicky Youre, Dazy",3741,17
Eminem,32502,21
"Eminem, Dina Rae",7615,14
"Mambo Kingz, DJ Luian, Anuel Aa",1208,34
"IU, Agust D",209,4
Feid,1235,9
"Arcangel, Bizarrap",654,3
"Tyler, The Creator",1479,0
"Tiï¿½ï¿½sto, Tate M",4942,26
"Tyler, The Creator",709,0
NF,660,0
Yng Lvcas,489,17
"Kanii, PR1ISVX",407,0
Harry Styles,7461,8
Marï¿½ï¿½lia Mendo,993,4
"Ariana Grande, The Weeknd",9161,5
Zach Bryan,3282,12
Melanie Martinez,596,0
"Fuerza Regida, Chino Pacas",320,6
Taylor Swift,2612,4
Mae Stephens,2040,4
Morgan Wallen,2128,9
"Feid, Mora",2598,37
Kenia OS,542,2
Kordhell,2459,20
"Coolio, L.V.",10624,17
"Karol G, Ovy On The Drums",2418,26
The Walters,7536,7
Steve Lacy,10431,7
James Arthur,15722,16
The Weeknd,25744,4
Mac DeMarco,1640,0
Jack Black,34,0
"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",1845,16
"Brray, Rauw Alejandro, Lyanno",3301,30
SZA,1911,0
Linkin Park,20111,5
"Gorillaz, Bad Bunny",1529,0
"j-hope, J. Cole",615,2
Morgan Wallen,811,4
"Robin Schulz, Oliver Tree",5730,10
Morgan Wallen,356,4
Morgan Wallen,604,6
"Don Toliver, Future, Justin Bieber",1190,0
Morgan Wallen,579,0
Niall Horan,1553,2
Central Cee,2301,20
Mahalini,134,4
Morgan Wallen,430,0
"Arijit Singh, Sachin-Jigar",86,0
ThxSoMch,629,14
"Myke Towers, Quevedo",1701,15
"Morgan Wallen, Eric Church",329,0
Nicki Minaj,1168,0
Kaifi Khalil,162,6
SZA,2536,6
"Karol G, Quevedo",387,11
NewJeans,892,17
Lady Gaga,3909,0
"Ozuna, Shakira",3645,15
Morgan Wallen,282,0
Quevedo,888,22
Morgan Wallen,968,4
Linkin Park,25065,6
Leo Santana,531,4
Treyce,242,0
"Post Malone, Doja Cat",5281,14
Bad Bunny,2590,30
Quevedo,1769,34
"MC Xenon, Os Gemeos da Putaria",454,4
"Imagine Dragons, League of Legends, JID, Arcane",6180,7
XXXTENTACION,3600,11
"Israel & Rodolffo, Ana Castela",1254,6
"J Balvin, Bad Bunny",6398,31
"Yuridia, Angela Aguilar",660,15
The Kid Laroi,1283,0
The Weeknd,8084,6
Lizzo,2332,2
Morgan Wallen,203,0
Fujii Kaze,685,14
"Wisin & Yandel, ROSALï¿½",2460,13
King,288,6
Bad Bunny,4572,33
"Coldplay, BTS",6127,13
Morgan Wallen,166,0
ROSALï¿½,1838,0
"Sam Smith, Calvin Harris, Jessie Reyez",1890,0
P!nk,2098,16
LE SSERAFIM,761,12
PinkPantheress,1225,0
"TAEYANG, Jimin",415,2
SZA,3469,0
Rihanna,3311,0
Lil Nas X,2616,0
Beach Weather,3006,16
"Halsey, BTS",4260,0
Baby Tate,482,0
Rï¿½ï,4013,10
"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",138,4
"RAYE, 070 Shake",1368,0
Beach House,17852,4
"BTS, Jung Kook, FIFA Sound",889,20
"Shakira, Rauw Alejandro",4796,9
"Steve Aoki, Tini, La Joaqui",658,6
Billie Eilish,3009,2
Sam Smith,17492,3
Conan Gray,6170,7
"Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",130,4
"Calvin Harris, Dua Lipa",27705,10
TOMORROW X TOGETHER,359,0
BLACKPINK,1963,16
"Drake, Future, Tems",5491,14
Dua Lipa,27119,0
Mr.Kitty,1776,14
"Gustavo Mioto, Mari Fernandez",1473,4
"Jack Harlow, Lil Nas X",13315,0
Elley Duhï¿,4057,8
Seafret,3045,6
"Baby Rasta, Rauw Alejandro",3006,12
"DJ Escobar, MC MENOR SG, MC MENOR HR",852,0
Dean Lewis,2163,15
SZA,1484,0
Joji,1703,0
Central Cee,4169,44
Bellakath,1054,0
"Skrillex, Flowdan, Fred again..",2849,0
"Travis Scott, 21 Savage, Metro Boomin",1602,0
Bad Bunny,9644,28
Nicki Minaj,4827,0
Kate Bush,21811,0
Aerosmith,168,0
Freddie Dredd,688,0
"Lost Frequencies, Calum Scott",10565,44
"Twisted, Oliver Tree",1612,0
Ed Sheeran,12755,8
Kenshi Yonezu,574,4
Omar Apollo,2499,0
SZA,10426,2
"Dua Lipa, DaBaby",15894,8
Doja Cat,9424,0
Hotel Ugly,713,7
"James Hype, Miggy Dela Rosa",7758,28
Taylor Swift,2537,2
"Pritam, Arijit Singh, Amitabh Bhattacharya",292,6
"Styrx, utku INC, Thezth",323,0
"Maroon 5, Wiz Khalifa",14143,4
Mariah Carey,25653,0
Wham!,22153,0
Brenda Lee,14994,0
Bobby Helms,10326,0
Michael Bublï¿,12353,0
Ariana Grande,9408,0
Andy Williams,8879,0
Dean Martin,6512,0
Sia,5140,0
Kelly Clarkson,6596,0
Josï¿½ï¿½ Felic,3788,0
Michael Bublï¿,7655,0
Justin Bieber,9577,0
The Ronettes,10114,0
SZA,1007,0
SZA,1127,0
"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",10829,0
"SZA, Don Toliver",1042,0
Burl Ives,7930,0
Nat King Cole,11500,0
Paul McCartney,1685,0
Band Aid,14169,0
"SZA, Phoebe Bridgers",1634,0
SZA,906,0
Shakin' Stevens,1087,0
"Frank Sinatra, B. Swanson Quartet",10585,0
SZA,827,0
"SZA, Travis Scott",1420,4
"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",11940,0
Chris Rea,888,0
Darlene Love,9122,0
SZA,892,0
SZA,989,0
SZA,819,0
"Ed Sheeran, Elton John",2209,0
"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",6290,0
Britney Spears,6952,0
"Mabel Matiz, Mert Demir",313,2
RM,353,2
SZA,4094,0
"Travis Scott, Metro Boomin",880,0
ThxSoMch,573,0
Nat King Cole,3299,0
SZA,811,0
SZA,899,0
"Taylor Swift, Lana Del Rey",2415,0
Taylor Swift,2304,0
"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",1003,0
Taylor Swift,2699,0
"Bad Bunny, Jhay Cortez",2482,20
"Gwen Stefani, Blake Shelton",2577,0
"Chencho Corleone, Rauw Alejandro",6821,34
SZA,714,0
"Bad Bunny, Rauw Alejandro",3185,4
Chuck Berry,8612,0
Frank Sinatra,4326,0
SZA,680,0
"John Legend, Metro Boomin",398,0
"Maldy, Karol G",3328,13
Gayle,7215,0
The Weeknd,4440,0
The Weeknd,2881,6
"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",2235,0
The Weeknd,3711,0
"Cherish, ACRAZE",12403,0
"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",2785,0
Farruko,14114,17
The Weeknd,1915,0
The Weeknd,2297,0
Jaymes Young,4375,0
The Weeknd,2800,0
The Weeknd,2597,0
Olivia Rodrigo,15563,6
"The Weeknd, Tyler, The Creator",1420,0
The Weeknd,1292,0
"SZA, Doja Cat",15867,0
"The Weeknd, Lil Wayne",1178,0
Doja Cat,6672,0
Lil Nas X,12329,0
Ckay,5669,2
The Weeknd,811,0
Jessica Darrow,1756,0
The Weeknd,1014,0
Lil Nas X,7963,0
"The Weeknd, Post Malone",4771,0
Mï¿½ï¿½ne,8559,0
"Aitana, zzoilo",3221,2
"Julieta Venegas, Bad Bunny, Tainy",3423,26
Lisa,2566,13
"Tiï¿½ï¿½sto, Ava",9151,6
Billie Eilish,8476,0
"The Weeknd, Swedish House Mafia",7495,17
"Juan Cruz Toledo, Huilen Toledo",5257,6
BoyWithUke,1795,0
Olivia Rodrigo,12685,3
"Xamï¿½ï¿½, Gustah, Neo B",648,1
Taylor Swift,4635,5
The Weeknd,1184,0
Adele,4431,0
"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",759,3
The Weeknd,733,0
Emmy Meli,2795,0
"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",2780,2
Shawn Mendes,1950,0
The Neighbourhood,3947,12
Kodak Black,2551,0
"Aventura, Bad Bunny",5375,10
Rauw Alejandro,11975,8
"Ckay, AX'EL, Dj Yo!",2696,0
"Bruno Mars, Anderson .Paak, Silk Sonic",4963,0
"THE ANXIETY, Willow, Tyler Cole",6734,0
The Weeknd,715,0
Sebastian Yatra,3047,9
"Justin Bieber, Daniel Caesar, Giveon",14140,0
"Bad Bunny, Jhay Cortez",11215,21
"Bizarrap, Tiago pzk",1678,12
Stromae,2035,0
"Chris Brown, Rvssian, Rauw Alejandro",2780,2
"NEIKED, Mae Muller, Polo G",4091,0
Oliver Tree,2868,0
"Kali Uchis, Amaarae, Moliy",3643,0
BTS,4779,6
"Young Thug, Future, Gunna",3517,0
"Doja Cat, The Weeknd",5073,0
Olivia Rodrigo,7545,4
BTS,8528,5
Jnr Choi,2979,0
"The Weeknd, Gesaffelstein",7731,2
"Trueno, Tiago pzk",1057,0
"Sech, Bad Bunny, Mora",3272,19
"Bruno Mars, Anderson .Paak, Silk Sonic",14417,0
"Drake, Project Pat, 21 Savage",5199,0
"Tiï¿½ï¿½sto, Kar",6026,0
Edison Lighthouse,2877,0
"The Weeknd, ROSALï¿½",4640,3
"Olga Merediz, Stephanie Beatriz, Encanto - Cast",1150,0
The Weeknd,768,0
Sebastian Yatra,925,0
Surf Curse,3006,3
Jason Derulo,3098,0
The Neighbourhood,9771,4
"21 Savage, Gunna",807,0
IVE,521,1
"24kgoldn, Iann Dior",12854,0
"Stephanie Beatriz, Diane Guerrero",802,0
Trueno,731,0
David Kushner,788,0
Olivia Rodrigo,3069,4
Kanye West,4651,0
Doja Cat,4999,0
Lewis Capaldi,8327,24
Playboi Carti,3297,3
Adele,35684,6
Maluma,3506,10
"Ed Sheeran, Fireboy DML",2999,0
Olivia Rodrigo,3681,0
"Prezioso, Gabry Ponte, LUM!X",4846,10
Tiï¿½ï¿,14311,0
Ariana Grande,8207,0
Mï¿½ï¿½ne,4873,0
"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",772,0
TWICE,1150,0
Giveon,5398,4
"Sean Paul, Dua Lipa",7370,0
"Charli XCX, Jax Jones, Joel Corry, Saweetie",6890,0
SALES,1966,0
Sleepy hallow,2226,0
Billie Eilish,4204,0
Billie Eilish,1959,0
Masked Wolf,7191,0
"Anuel Aa, Jhay Cortez",2012,0
NIKI,1211,2
Bruno Mars,7109,2
Tate McRae,6638,0
Avicii,17354,8
The Weeknd,6392,0
"Drake, Future, Young Thug",5481,0
Rauw Alejandro,2636,3
"Imagine Dragons, League of Legends, Arcane",824,0
Tones and I,24529,0
Juice WRLD,14749,0
"J Balvin, Maria Becerra",8087,0
John Legend,27221,0
Nirvana,49991,9
Duncan Laurence,6646,0
"Drake, Travis Scott",5403,6
"Tini, L-Gante",755,4
SiM,254,0
"Kendrick Lamar, Baby Keem",6308,5
The Killers,51979,15
ENHYPEN,246,0
"J Balvin, Nio Garcia, Bad Bunny",6556,0
Doja Cat,5728,0
"Lady Gaga, Bradley Cooper",16636,12
ENHYPEN,461,0
"Marshmello, Jonas Brothers",4893,4
BTS,1801,2
"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",12043,0
Polo G,4731,0
"Eminem, Nate Dogg",22923,0
Maroon 5,9974,2
"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",1560,0
"Gunna, Lil Baby",620,0
"Katy Perry, Alesso",3270,0
"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",580,0
"Tini, Maria Becerra",3406,16
"Anuel Aa, Myke Towers, Jhay Cortez",903,0
"Karol G, Becky G",6809,28
"Dr. Dre, Snoop Dogg",33966,0
Jung Kook,590,5
Dove Cameron,3766,0
"Ed Sheeran, Taylor Swift",1430,0
"Dr. Dre, Snoop Dogg",31762,0
Charlie Puth,4049,0
"Kanye West, Alicia Keys, Fivio Foreign",2096,0
"Mahmood, Blanco",1175,0
Frank Ocean,29499,11
50 Cent,30427,7
Tate McRae,2711,0
Yung Lean,4310,0
"Labrinth, Zendaya",5342,0
The Rare Occasions,2393,0
Labrinth,3444,7
Labrinth,5443,0
"Intense, AP Dhillon, Gurinder Gill",272,4
Juice WRLD,975,0
"Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",1034,1
"Dr. Dre, 2Pac, Roger",18773,0
"Eminem, Dr. Dre",19067,0
"Luude, Colin Hay",3541,2
Ryan Castro,1492,0
Kendrick Lamar,33206,1
"Eminem, Dido",17115,0
"GODZZ__-, Zakaria",6955,0
Chase Atlantic,2742,0
Bad Bunny,4214,11
Em Beihold,2026,0
"Mainstreet, Chefin",352,0
"Alvaro Diaz, Rauw Alejandro",1517,0
"Nicki Minaj, Lil Baby",847,0
Future,910,0
Zï¿½ï¿½ Fe,601,0
Muni Long,1800,0
Vundabar,1930,0
Ed Sheeran,33032,0
Labrinth,6332,0
V,509,9
"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",971,2
Labrinth,2578,0
"Nicki Minaj, Lil Baby",1064,0
Labrinth,3618,0
"Eminem, Dr. Dre",1040,0
"Shawn Mendes, Camila Cabello",15010,2
"Tyler, The Creator",4708,0
Harry Styles,13454,1
"Daddy Yankee, Bad Bunny",4890,20
Nirvana,9514,0
"Dua Lipa, Megan Thee Stallion",3501,0
"Camila Cabello, Ed Sheeran",6111,4
Cris Mj,5415,32
Anitta,4673,2
Dave,1856,3
Tulus,200,2
Labrinth,1888,0
"Mc Pedrinho, Pedro Sampaio",911,2
Zion & Lennox,2954,2
"Residente, Bizarrap",461,0
Ryan Castro,2844,2
Jack Harlow,2939,0
Eden Muï¿½ï,695,11
Treasure,328,0
Christian Nodal,866,16
"Kevin Gates, Juicy J",1550,0
"Tyga, Doja Cat",1729,0
JVKE,2005,0
Bad Bunny,1188,0
Queen,40112,3
XXXTENTACION,3659,0
Dua Lipa,9833,0
Avicii,50887,34
Olivia Rodrigo,3257,0
YEAT,1473,0
C. Tangana,2226,0
"The Chainsmokers, Coldplay",23375,21
"The Chainsmokers, Halsey",28032,0
NMIXX,290,0
"Gotye, Kimbra",42798,0
"AnnenMayKantereit, Giant Rooks",2605,0
Jack Harlow,8737,0
Paulo Londra,1105,0
Danny Ocean,2499,21
"Daddy Yankee, Bad Bunny",2697,1
Shawn Mendes,2092,0
Lil Tjay,1185,0
Willow,11985,0
IVE,753,8
"Feid, Alejo, Robi",2995,0
Paulo Londra,225,0
Demi Lovato,9243,0
"Camila Cabello, Willow",918,0
Troye Sivan,1959,9
"Matuï¿½ï¿½, Wiu, ",540,4
"De La Ghetto, Duki, Quevedo",859,0
Lil Baby,1116,0
"Ak4:20, Cris Mj, Pailita",273,2
Charlie Puth,686,2
Yahritza Y Su Esencia,226,0
Daddy Yankee,1264,0
"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",870,0
Harry Styles,7556,0
"Ed Sheeran, J Balvin",1370,0
teto,315,2
Stray Kids,651,0
Shawn Mendes,12382,0
"Blackbear, BoyWithUke",625,0
Harry Styles,8429,1
"Pharrell Williams, Nile Rodgers, Daft Punk",52898,0
Doja Cat,3436,0
"Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",918,0
BIGBANG,181,0
Ed Sheeran,18778,3
Justin Bieber,22730,5
Kendrick Lamar,5542,0
Lizzo,9021,0
"Kendrick Lamar, Blxst, Amanda Reifer",4627,0
Bad Bunny,2229,0
Bad Bunny,1112,6
Kendrick Lamar,2575,0
"Kendrick Lamar, Sampha",3107,0
Bad Bunny,1179,0
Kendrick Lamar,3486,0
"Post Malone, Roddy Ricch",2942,0
Bad Bunny,1443,0
"Kendrick Lamar, Kodak Black",3028,0
"Tony Dize, Bad Bunny",1796,8
Kendrick Lamar,2729,0
"Buscabulla, Bad Bunny",1195,0
Bad Bunny,892,3
"Kendrick Lamar, Taylour Paige",1635,0
"Kendrick Lamar, Sam Dew, Baby Keem",2291,0
Bad Bunny,1029,28
"Bad Bunny, The Marï¿½ï",1681,7
Kendrick Lamar,1480,0
Bad Bunny,829,0
"Kendrick Lamar, Ghostface Killah, Summer Walker",2308,0
Bad Bunny,1004,1
"Polima WestCoast, Pailita",1367,0
Bad Bunny,1112,3
Bad Bunny,1209,0
"Bad Bunny, Tainy",9539,15
Jack Harlow,1992,0
Bad Bunny,897,0
Panic! At The Disco,2948,0
"Kendrick Lamar, Tanna Leone",1860,0
"PSY, Suga",802,0
Benson Boone,2224,8
Kendrick Lamar,1103,0
Mï¿½ï¿½ne,2265,0
KALUSH,555,0
The Kid Laroi,2050,0
Kendrick Lamar,1493,0
Kendrick Lamar,1545,0
Future,2350,0
Kendrick Lamar,1929,0
Luciano,710,4
"Bizarrap, Paulo Londra",928,0
Kendrick Lamar,1194,0
"Shae Gill, Ali Sethi",349,6
"Kendrick Lamar, Beth Gibbons",1890,0
"Sech, Mora",1308,2
"MNEK, Jax Jones",4531,0
"Ugly Dray, Tesla Jnr",1657,0
"Justin Bieber, Don Toliver",1351,0
Jessi,608,0
Chanel,1211,0
LE SSERAFIM,629,0
Leah Kate,1301,0
Sam Ryder,1329,0
"HA SUNG WOON, Jimin",343,2
The Goo Goo Dolls,13101,9
Kendrick Lamar,2939,0
Kevin Kaarl,407,1
Taylor Swift,1492,0
Suki Waterhouse,2264,0
Lauren Spencer Smith,801,0
BTS,829,0
BTS,736,0
Harry Styles,4449,1
Harry Styles,3218,3
BTS,327,0
Harry Styles,2775,0
Doja Cat,4576,0
"Pharrell Williams, Tyler, The Creator, 21 Savage",2313,0
"Calvin Harris, Dua Lipa, Young Thug",3983,0
